,Player,Season,PA,AB,AVG,HardHit%,Barrel%,EV,K%,Contact%,O-Swing%,Z-Swing%,SwStr%
113,Austin Jackson,2015,527,491,0.267,0.39799999999999996,0.035,89.6,0.239,0.7979999999999999,0.266,0.636,0.08900000000000001
125,Elvis Andrus,2015,661,596,0.258,0.271,0.013000000000000001,87.3,0.11800000000000001,0.863,0.258,0.611,0.057999999999999996
118,Wilmer Flores,2015,510,483,0.263,0.255,0.019,86.4,0.124,0.871,0.314,0.68,0.062
69,Albert Pujols,2015,661,602,0.244,0.38299999999999995,0.071,90.7,0.109,0.856,0.312,0.649,0.066
111,Chase Headley,2015,642,580,0.259,0.325,0.045,86.8,0.21,0.8,0.247,0.654,0.086
131,Freddy Galvis,2015,603,559,0.263,0.218,0.017,86.1,0.171,0.8240000000000001,0.392,0.65,0.08900000000000001
94,Marlon Byrd,2015,544,506,0.247,0.311,0.079,86.3,0.267,0.7140000000000001,0.439,0.8320000000000001,0.172
137,Alcides Escobar,2015,662,612,0.257,0.165,0.009000000000000001,84.6,0.113,0.838,0.354,0.6920000000000001,0.083
77,Nick Markakis,2015,686,612,0.296,0.336,0.008,88.3,0.121,0.902,0.266,0.623,0.040999999999999995
98,Marcus Semien,2015,601,556,0.257,0.28600000000000003,0.038,87.1,0.22,0.794,0.253,0.635,0.09
124,Ian Desmond,2015,641,583,0.233,0.409,0.064,90.8,0.292,0.733,0.341,0.7,0.132
109,Cameron Maybin,2015,555,505,0.267,0.359,0.022000000000000002,88.2,0.184,0.8140000000000001,0.267,0.62,0.08
75,Mark Trumbo,2015,545,508,0.262,0.42700000000000005,0.08800000000000001,92.0,0.242,0.716,0.368,0.722,0.146
106,Aramis Ramirez,2015,516,475,0.246,0.342,0.046,87.4,0.132,0.8340000000000001,0.366,0.747,0.08800000000000001
80,Matt Kemp,2015,648,596,0.265,0.4,0.07,89.5,0.22699999999999998,0.752,0.358,0.7070000000000001,0.126
130,Jace Peterson,2015,597,528,0.239,0.263,0.031,87.1,0.201,0.795,0.27699999999999997,0.622,0.08800000000000001
112,Brett Lawrie,2015,602,562,0.26,0.391,0.049,90.0,0.239,0.755,0.354,0.64,0.11900000000000001
133,Erick Aybar,2015,638,597,0.27,0.192,0.006999999999999999,85.7,0.114,0.878,0.38,0.682,0.062
121,Salvador Perez,2015,553,531,0.26,0.322,0.046,87.3,0.14800000000000002,0.8320000000000001,0.425,0.685,0.09
115,Torii Hunter,2015,567,521,0.24,0.34700000000000003,0.048,88.5,0.185,0.789,0.36700000000000005,0.736,0.113
120,Jose Reyes,2015,519,481,0.274,0.18600000000000003,0.002,84.6,0.11900000000000001,0.85,0.34700000000000003,0.698,0.075
116,Anthony Gose,2015,535,485,0.254,0.304,0.018000000000000002,88.2,0.271,0.7490000000000001,0.297,0.713,0.121
127,Starlin Castro,2015,578,547,0.265,0.278,0.039,86.3,0.157,0.823,0.355,0.659,0.086
99,Nick Castellanos,2015,595,549,0.255,0.345,0.07200000000000001,88.3,0.255,0.7190000000000001,0.342,0.698,0.139
107,Brandon Moss,2015,526,469,0.226,0.395,0.114,89.1,0.281,0.7190000000000001,0.326,0.732,0.138
